timestamp,daily_1,daily_2,daily_3,daily_4,daily_5,daily_6,daily_7,daily_8,daily_9,daily_10,daily_11,daily_12,daily_13,daily_14,daily_15,daily_16,daily_17,daily_18,daily_19,daily_20,anomaly,nb anomalies
2016-02-28T12:00,21,26,27,32,71,210,710,3550,710,13.0,35,40,41,46,85,350,850,4250,850,20.0,,
2016-02-28T13:00,22,28,28,34,72,220,720,3600,720,14.0,30,36,36,42,80,300,800,4000,800,18.0,,
2016-02-28T14:00,22,29,27,34,72,220,720,3600,720,14.5,25,32,30,37,75,250,850,3750,750,16.0,A,
2016-02-28T15:00,23,31,27,35,73,230,730,3650,730,15.5,20,28,24,32,70,200,700,3500,700,14.0,,
2016-02-28T16:00,24,32,27,35,74,240,740,3700,740,16.0,15,23,18,26,65,150,650,3250,650,11.5,,
2016-02-28T17:00,23,29,25,31,73,230,730,3650,730,14.5,10,16,12,18,60,100,600,3000,600,8.0,,
2016-02-28T18:00,22,29,24,31,72,220,720,3600,720,14.5,15,22,17,24,65,150,650,3250,650,11.0,,
2016-02-28T19:00,21,26,22,27,71,210,710,3550,710,13.0,20,25,21,26,70,200,700,3500,700,12.5,,
2016-02-28T20:00,19,22,20,23,69,190,690,3450,690,11.0,25,28,26,29,75,250,750,3750,750,14.0,,
2016-02-28T21:00,19,21,19,21,69,190,690,3450,690,10.5,30,32,30,32,80,300,800,4000,800,16.0,,
2016-02-28T22:00,18,20,18,20,68,180,680,3400,680,10.0,40,42,40,42,90,400,900,4500,-900,21.0,A,
2016-02-28T23:00,17,16,17,16,67,170,670,3350,670,8.0,45,44,45,44,95,450,950,4750,-950,22.0,A,
2016-02-29T00:00,16,11,16,11,66,160,660,3300,660,5.5,30,25,30,25,80,300,800,4000,800,12.5,,
2016-02-29T01:00,15,11,14,10,65,150,650,3250,650,5.5,32,28,31,27,82,320,820,4100,820,14.0,,
2016-02-29T02:00,15,12,13,10,65,150,650,3250,650,6.0,34,31,32,29,84,340,840,4200,840,15.5,,
2016-02-29T03:00,15,12,11,8,65,150,650,3250,650,6.0,36,33,32,29,86,360,860,4300,860,16.5,,
2016-02-29T04:00,15,12,12,9,65,150,650,3250,650,6.0,38,35,35,32,88,380,880,4400,880,17.5,,
2016-02-29T05:00,15,14,14,13,65,150,650,3250,650,7.0,40,39,39,38,90,400,900,4500,900,19.5,,
2016-02-29T06:00,16,16,17,17,66,160,660,3300,660,8.0,42,42,43,43,92,420,920,4600,920,21.0,,
2016-02-29T07:00,17,20,22,25,67,170,670,2500,670,10.0,44,47,49,52,94,440,940,4700,940,23.5,A,
2016-02-29T08:00,18,22,24,28,68,180,680,2500,680,11.0,46,50,52,56,96,460,960,4800,960,25.0,A,
2016-02-29T09:00,18,25,26,33,68,180,680,2500,680,12.5,44,51,52,59,94,440,940,4700,940,25.5,A,
2016-02-29T10:00,19,27,27,35,69,190,690,2500,690,13.5,42,50,50,58,92,420,920,4600,920,25.0,A,
2016-02-29T11:00,19,25,26,32,69,190,690,2500,690,12.5,40,46,47,53,90,400,900,4500,900,23.0,A,
2016-02-29T12:00,21,26,27,32,71,210,710,3550,710,13.0,35,40,41,46,85,350,850,4250,850,20.0,,
2016-02-29T13:00,22,28,28,34,72,220,720,3600,720,14.0,30,36,36,42,80,300,800,4000,800,18.0,,
2016-02-29T14:00,22,29,27,34,72,220,720,3600,720,14.5,25,32,30,37,75,250,750,3750,750,16.0,,
2016-02-29T15:00,23,31,27,35,73,230,730,3650,730,15.5,20,28,24,32,70,200,700,3500,700,14.0,,
2016-02-29T16:00,24,32,27,35,74,240,740,3700,740,16.0,15,23,18,26,65,150,650,3250,650,11.5,,
2016-02-29T17:00,23,29,25,31,73,230,730,3650,730,14.5,10,16,12,18,60,100,600,3000,600,8.0,,
2016-02-29T18:00,22,29,24,31,72,220,720,3600,720,14.5,15,22,17,24,65,150,650,3250,650,11.0,,
2016-02-29T19:00,21,26,22,27,71,210,710,3550,710,13.0,20,25,21,26,70,200,700,3500,700,12.5,,
2016-02-29T20:00,19,22,20,23,69,190,690,3450,690,11.0,25,28,26,29,75,250,750,3750,750,14.0,,
2016-02-29T21:00,19,21,19,21,69,190,690,3450,690,10.5,30,32,30,32,80,300,800,4000,800,16.0,,
2016-02-29T22:00,18,20,18,20,68,180,680,3400,680,10.0,40,42,40,42,90,400,900,4500,900,21.0,,
2016-02-29T23:00,17,16,17,16,67,170,670,3350,670,8.0,45,44,45,44,95,450,950,4750,950,22.0,,
2016-03-01T00:00,16,11,16,11,66,160,660,3300,660,5.5,30,25,30,25,80,300,800,4000,800,12.5,,
2016-03-01T01:00,15,11,14,10,65,150,650,3250,650,5.5,32,28,31,27,82,320,820,4100,820,14.0,,
2016-03-01T02:00,15,-12,13,10,65,150,650,3250,650,6.0,34,31,32,29,84,340,840,4200,840,15.5,A,
2016-03-01T03:00,15,12,11,8,65,150,650,3250,650,6.0,36,33,32,29,86,360,860,4300,860,16.5,,
2016-03-01T04:00,15,12,12,9,65,150,650,3250,650,6.0,38,35,35,32,88,380,880,4400,880,17.5,,
2016-03-01T05:00,15,14,14,13,65,150,650,3250,650,7.0,40,39,39,38,90,400,900,4500,900,19.5,,
2016-03-01T06:00,16,16,17,17,66,160,660,3300,660,8.0,42,42,43,43,92,420,920,4600,920,21.0,,
2016-03-01T07:00,17,20,22,25,67,170,670,3350,670,10.0,44,47,49,52,94,440,940,4700,940,23.5,,
2016-03-01T08:00,18,22,24,28,68,180,680,3400,680,11.0,46,50,52,56,96,460,960,4800,960,25.0,,
2016-03-01T09:00,18,25,26,33,68,180,680,3400,680,12.5,44,51,52,59,94,440,940,4700,940,25.5,,
2016-03-01T10:00,19,27,27,35,69,190,690,3450,690,13.5,42,50,50,58,92,420,920,4600,920,25.0,,
2016-03-01T11:00,19,25,26,32,69,190,690,3450,690,12.5,40,46,47,53,90,400,900,4500,900,23.0,,
2016-03-01T12:00,21,26,27,32,71,210,710,3550,710,13.0,35,40,41,46,85,350,850,4250,850,20.0,,
2016-03-01T13:00,22,28,28,34,72,220,720,3600,720,14.0,30,36,36,42,80,300,800,4000,800,18.0,,
2016-03-01T14:00,22,29,27,34,72,220,720,3600,720,14.5,25,32,30,37,75,250,750,3750,750,16.0,,
2016-03-01T15:00,23,31,27,-35,73,230,730,3650,730,15.5,20,28,24,32,70,200,700,3500,700,14.0,A,
2016-03-01T16:00,24,32,27,35,74,240,740,3700,740,16.0,15,23,18,26,65,150,650,3250,650,11.5,,
2016-03-01T17:00,23,29,25,31,73,230,730,3650,730,14.5,10,16,12,18,60,100,600,3000,600,8.0,,
2016-03-01T18:00,22,29,24,31,72,220,720,3600,720,14.5,15,22,17,24,65,150,650,3250,650,11.0,,
2016-03-01T19:00,21,26,22,27,71,210,710,3550,710,13.0,20,25,21,26,70,200,700,3500,700,12.5,,
2016-03-01T20:00,19,22,20,23,69,190,690,3450,690,11.0,25,28,26,29,75,250,750,3750,750,14.0,,
2016-03-01T21:00,19,21,19,21,69,190,690,3450,690,10.5,30,32,30,22,80,300,800,4000,800,16.0,A,
2016-03-01T22:00,18,20,18,20,68,180,680,3400,680,10.0,40,42,40,-42,90,400,900,4500,900,21.0,A,
2016-03-01T23:00,17,16,17,16,67,170,670,3350,670,8.0,45,44,45,44,95,450,950,4750,950,22.0,,
2016-03-02T00:00,16,11,16,11,66,160,660,3300,660,5.5,30,25,30,25,80,300,800,4000,800,12.5,,
2016-03-02T01:00,15,11,14,10,65,150,650,3250,650,5.5,32,28,31,27,82,320,820,4100,820,14.0,,
2016-03-02T02:00,15,12,13,10,65,150,650,3250,650,6.0,34,31,32,29,84,340,840,4200,840,15.5,,
2016-03-02T03:00,15,12,11,8,65,150,650,3250,650,6.0,36,33,32,29,86,360,860,4300,860,16.5,,
2016-03-02T04:00,15,12,12,9,65,150,650,3250,650,6.0,38,35,35,32,88,380,880,4400,600,17.5,A,
2016-03-02T05:00,15,14,14,13,65,150,650,3250,650,7.0,40,39,39,38,90,400,900,4500,900,19.5,,
2016-03-02T06:00,16,16,17,17,66,160,660,3300,660,8.0,42,42,43,43,92,420,920,4600,920,21.0,,
2016-03-02T07:00,17,20,22,25,67,170,670,3350,670,10.0,44,47,49,52,94,440,940,4700,940,23.5,,
2016-03-02T08:00,18,22,24,28,68,180,680,3400,680,11.0,46,50,52,56,96,460,960,4800,960,25.0,,
2016-03-02T09:00,18,25,26,33,68,180,680,3400,680,12.5,44,51,52,59,94,440,940,4700,940,25.5,,
2016-03-02T10:00,19,27,27,35,69,190,690,3450,690,13.5,42,50,50,58,92,420,920,4600,920,25.0,,
2016-03-02T11:00,19,25,26,32,-69,190,690,3450,690,12.5,40,46,47,53,90,400,900,4500,900,23.0,A,
2016-03-02T12:00,21,26,27,32,71,210,710,3550,710,13.0,35,40,41,46,85,350,850,4250,850,20.0,,
2016-03-02T13:00,22,28,28,34,72,220,720,3600,720,14.0,30,36,36,42,80,300,800,4000,800,18.0,,
2016-03-02T14:00,22,29,27,34,72,220,720,3600,720,14.5,25,32,30,37,75,250,750,3750,750,16.0,,
2016-03-02T15:00,23,31,27,35,73,230,730,3650,730,15.5,20,28,24,32,70,200,600,3500,700,14.0,A,
2016-03-02T16:00,24,32,27,35,74,240,740,3700,740,16.0,15,23,18,26,65,150,650,3250,650,11.5,,
2016-03-02T17:00,23,29,25,31,73,230,730,3650,730,14.5,10,16,12,18,60,100,600,3000,600,8.0,,
2016-03-02T18:00,22,29,24,31,72,220,720,3600,720,14.5,15,22,17,18,65,150,650,3250,650,11.0,A,
2016-03-02T19:00,21,26,22,27,71,210,710,3550,710,13.0,20,25,21,26,70,200,700,3500,700,12.5,,
2016-03-02T20:00,19,22,20,23,69,190,690,3450,690,11.0,25,28,26,29,75,250,750,3750,750,14.0,,
2016-03-02T21:00,19,21,19,21,69,190,690,3450,690,10.5,30,32,30,32,80,300,800,4000,800,16.0,,
2016-03-02T22:00,18,20,18,20,68,180,680,3400,770,10.0,40,42,40,42,90,400,900,4500,900,21.0,A,
2016-03-02T23:00,17,16,17,16,67,170,670,3350,670,8.0,45,44,45,44,95,450,950,4750,950,22.0,,
